,title,news
197,Two killed in Jashore road accident,"Two including a woman were killed in a road accident at Jaforpur area on Jashore-Khulna highway in Abhaynagar upazila of Jashore on Friday morning. The deceased were identified as Golam Nabi 75, resident of Jaforpur area and Joshna Begum  55, wife of Selim Mollah of Dattogati area in Fultala upazila under Khulna district.  Noapara highway police Sub-Inspector (SI) Omar Farque confirmed the matter. Police and witnesses sources said, a Khulna bound bus from Dhaka lost its control and hit two pedestrians when the bus reached Jaforpur area around 6:00 am on Friday, leaving two those dead on the spot.  Noapara highway police Sub-Inspector (SI) Omar Farque said the bus was seized but its driver and helper fled. A case was filed with Abhaynagar thana in this connection. "
198,One killed in Satkhira road accident   ,"A motorcyclist was killed and another injured as a pickup van crashed into their bike on the Bypass road in Satkhira Sadar upazila on early Sunday.The deceased was identified as Hazrat Ali, 45, son of Jabed Ali hailed from Alipur village in the upazila. The injured Nazrul Islam is the son of Abdul Aziz hailed from Madhumallar Dangi village of Satkhira town.The pickup hit the motorcycle around 12:30am, leaving Hazrat dead on the spot, said Mustafizur Rahman, Officer-In-Charge of Sadar Police Station.On information, police recovered the body and sent it to Sadar Hospital morgue for autopsy while the injured was sent to Khulna for better treatment, he said."
199,One killed in Kishoreganj road accident,"A man was killed in a road accident at Hossainpur upazila in Kishoreganj on Thursday.The deceased was identified as Rahmat Ali 55, son of Taiz Uddin of village Kandipara under Pagla Police Station in Mymensingh district.The accident took place on Hossainpur-Goforgoan road at Dipesshwar area under Hossainpur upazila.Rahmat Ali was going to his house from Hossainpur Bazar by auto rickshaw. At that time, a speedy tractor collided with the auto rickshaw, leaving him dead on the spot.Sub Inspector of Hossainpur Police Station Md. Saiful Islam confirmed the matter. He said that body was sent to Kishoreganj 250 Bed General Hospital for autopsy."
200,Policeman killed in Jhenidah road accident," A police constable was crushed to dead under the wheels of a speeding truck on Jhenidah-Kushtia highway on Monday noon. The deceased was identified as Aminul Islam, serving at Katlamari police outpost of Jhenidah Sadar police station.Eyewitness Jakir Hossain and an official of the fire service and civil defense station said Aminul Islam was marching towards Kaliganj on his motorbike. When he arrived near Chhalabhara Kayargachhi area on the highway about 12.00 noon, a speeding truck (Khulna metro Ba- 11-1644) dashed him from the back leaving him severe injured. A vehicle of an executive magistrate rushed the spot incidentall[y and taken Aminul Islam at Jhenidah Sadar hospital in a critical state. He died on the way to hospital. Locals seized the truck while the driver along with the helper of the truck managed to flee.Lawmaker of Jhenidah-4 constituency Anwarul Azim Anar and vice chairman of Kaliganj upazila parishad Shibly Nomani visited the spot immediate after the incident, said Kaliganj police station sub inspector Anwarul Islam."
201,"Son killed, mother injured in Chandpur road accident","Police identified the deceased as Najmul, 7, son of Md Abdul Kader, resident of Khan bari in Betagi thana of Barishal district.The accident occurred in the area when a CNG run auto rickshaw carrying the victims collided head-on with a Pick-up van, leaving the duo injured, one seriously, Nasim Uddin, Officer-in-charge (OC) of Chandpur model policestation said.Locals rescued them and whisked them off to Chandpur General Hospital where on duty doctors pronounced the minor boy dead, he said.The police official said the victims along with their other family members came to Chandpur launch ghat from Barishal and they were heading to Noakhali in the CNG auto rickshaw from there.The injured mother is undergoing treatment in the hospital. On information, police rushed to the spot and seized the pick-up van. The body was handed over to the family members after completing legal formalities, said the police officer."
202, RMG worker killed in Savar road accident,"A female RMG worker was killed in a road crash at old DEPZ area in Ashulia of Savar on Sunday night. Police seized the Covered Van and detained the driver and his associate who were involved in the incident.The deceased was identified as Shilpi Khatun, daughter of Khademul Ali, hailed from Nator District of Rajshahi. She worked in Hopiq Bd Ltd of Ashulia.Locals said, after recess, the female worker of the factory because of rain had recourse under a covered van which was parked from before in front of the factory gate. Later the driver of the covered van started to drive unknowingly and left the worker dead. Being informed, police rushed to the spot, recovered the body and sent it to the hospital morgue for autopsy. Md. Badruzzam, Sub-inspector of Ashulia Police Station confirmed the matter. He said, “After the incident, we seized the vehicle but no case was filed because both sides have resolved the matter.”"
203,Headmaster killed in road accident    ,"A school headmaster was killed and his wife  critically injured as a bus  crashed into their motorbike in   Ujjolpur Palpara more in Jhikorgacha Upazil of Jashore district yesterday (Sunday) night. The deceased was identified as Arshad Ali 50, son of  Late Ansar Ali  of Dighirpar Taltola village and also a head master of  Khadapara Adas child Care school in Monirampur upazila.Mesbahuddin, officer in Charge of Bakra police Out post said, The speeding bus hit the motorcycle of Arshad Ali in Ujjolpur Palpara more  while they were returning to his house in Monirampur from Jhikorgacha , he died on the spot and his wife Najmunahar was sent to Jashore General Hospital ."
204,Man killed in Kishoreganj road accident,"A man was killed in road accident at Katiadi upazila in Kishoreganj on Saturday. The accident took place on Kishoreganj-Bhairab road at Achmita Maddapara of the upazila.The deceased was identified by Md. Habibur Rahman Rasel, son of Md. Abdul Gafur of village Bhogpara under Katiadi upazila of the district. His wife Suravi Akter was injured seriously in the accident.It is reported that they were going to Gagoir Govt. Primary School from their house by motorcycle. At that time, a covered van collided with motorcycle and they were injured seriously. Local people rescued them and sent to Katiadi Upazila Health Complex. The on duty doctors of the hospital declared Habibur Rahman Rasal dead. His wife Suravi was later sent to Jahurul Islam Medical College and Hospital.Katiadi Highway Outpost Police Inspector Md. Nasir Uddin Mojumder confirmed the matter."
205,Schoolboy killed  in B’baria road accident,"A school boy was killed as an auto rickshaw ran over him in front of Uttar Government Primary School at  Narayanpur Village under Nabinagar Upazila in Brahmanbaria on Wednesday.The deceased was identified as Tamim, 6, son of Shaheen Miah, hailed from Madhya Para area of Narayanpur Village under Nabinagar upazila of the district.Tamim was the 1stgrader of Uttar Government Primary School at Narayanpur village.Police and local sources said that Tamim went to buy Latim in a shop in front of the school. At that time, an auto rickshaw hit him behind while crossing the road. He was taken to the Upazila Health Complex in critical condition where doctor declared him dead."
206,Schoolboy killed in Pirojpur road accident," A school boy was killed in a road accident in Bhandaria upazila of Pirojpur on Monday morning.The deceased was identified as Resgad Islam, 7, son of Rafiqul Islam Farazi of Ward no 2 of the municipality.He was a student of class 1 of Jamirtola Government Primary School.Ayesha Siddiqua, headteacher of the school, said a battery-run auto-rickshaw hit Reshad at College Mor area on the Bhandaria-Barishal road this morning when he was on the way to school, leaving him dead on the spot.Officer in-Charge of Bhandaria Police Station Md Maksudur Rahman said the body was recovered from the scene.Police seized the vehicle but its driver managed to flee the scene."
207,Hasan stresses awareness campaign to curb  road accidents,"“I urge all including drivers, vehicles owners, labourers and the countrymen to conduct awareness campaign to check the road mishap,” the minister said after visiting Yamin Alvi, a road accident victim, at Trauma Center at Shyamoli in the capital. Alvi is a son of music composer Parvez Rob who died in a road accident few days ago.The information minister said the road accidents usually take place due to lack of awareness of the road users including drivers, adding that in some cases, reckless driving is blamed for accident. “Lack of skills of drivers, tendency to violate the traffic law, technical glitches, over-speed, overtaking and overloading of vehicles are also among the main causes behind the road accidents,” Dr Hasan, also Awami League Publicity and Publication Secretary, said.He accused that some drivers have no license, saying those fake drivers who have no idea about traffic rules are responsible for most of the accidents. The minister cast a doubt over Alvi’s accident, saying, “The accident of Alvi is not a mere accident.” In this connection, he said few days ago, Parvez was killed in a road accident, adding that his son Alvi now got injured critically in another road accident when his friend was also killed.“The incidents will have to be investigated whether it was accidents or other things,” he added. Dr Hasan said the government has formed taskforce and it made 110 recommendations to curb the road accidents. “I hope the road accident will reduce if we can implement the recommendations,” he continued. He also vowed to bring drivers involved in reckless driving under trial. The minister also talked with Alvi’s relatives and concerned doctors and inquired about the treatment of him.Bangabandhu Sangskritik Jote senior vice president Rafiqul Alam and general secretary Arun Sarker Rana, among others, accompanied the minister. Mentionable, on Thursday, a Victor Classic Paribahan bus ran over and killed singer and music composer Parvez Rob, when he was trying to board another bus in Turag area in the capital.Then, on Saturday night, another vehicle of the same paribahan hit Parvez’s son Yamin Alvi, and his friend Mehedi Hasan. Mehedi was killed instantly and Alvi suffered serious injuries to his back. He is a first-year honours student."
208,Woman killed in Thakurgaon   road accident,"The identity of the deceased could not be known immediately.Quoting witnesses, Ashiqur Rahman, officer-in-charge of Sadar Police Station, said the accident took place around 4 am when the Panchagarh-bound bus of ‘Hanif Enterprise’ fell off from a bridge and plunged into a road side ditch after hitting an electric pole, leaving the woman dead on the spot.The injured were taken to local hospital. Officer-in-Charge of Thakurgaon Police Station, Ashiqur Rahman confirmed the matter."
209,One dies in Gopalganj   road accident,
210,4 killed in Bogura road accidents,"Gaziur Rahman, additional superintendent of police, said the accident occurred in the area when a banana-laden Dhaka-bound truck collided head-on with a rod-laden truck from the opposite direction around 5am, leaving three people dead on the spot and two others injured. The injured were rushed to Bogura Shaheed Ziaur Rahman Medical College Hospital. "
211,One killed in Pabna road accident,"The deceased was identified as Ali, 50, hailed from Talot village under Sathia Upazila.Highway police said the accident occurred on Sunday morning in Jaforabad area on Dhaka-Pabna Highway, leaving Ali dead on the spot.Police seized the truck. But its driver managed to flee the scene."
212,One killed in Pabna road accident,"The deceased was identified as Ali, 50, hailed from Talot village under Sathia Upazila.Highway police said the accident occurred on Sunday morning in Jaforabad area on Dhaka-Pabna Highway, leaving Ali dead on the spot.Police seized the truck. But its driver managed to flee the scene."
213,One killed in Bagerhat road accident; 3 injured,"The accident took place on Friday night when a truck carrying a Mahendra from the opposite direction struck Mahendra in Bhaga area of the upazila. The injured were all passengers of Mahendra.Rampal Police Station Officer-in-Charge Tuhin Howlader said that four passengers of a Mahendra were seriously injured when a truck collided with the Mahendra in Bhaga area on Friday night.They were rescued and admitted to the Upazila Health Complex. Among them, Rajkumar Pal died after first aid.Another person named Mezbah Uddin was sent to Khulna Medical College Hospital in critical condition. His home is in Tekathia village of Fakirhat upazila.Meanwhile, the driver of the truck was arrested. Katakhali Highway Police will take legal action in this regard, the OC said."
214,Youth killed in Satkhira road accident,"A local resident said, an encounter with an engine van coming from the opposite direction reached the filling station while going to work at Shyamnagar headquarters with a motorcycle. The motorcyclist Sadek was seriously injured in the accident.He was rescued and taken to the emergency department at Shamnagar Upazila Health Complex. While, medical officer Dr Ruhul Amin declared him dead. The injured Abul Kalam, driver of the engine van, was sent to Satkhira Medical College. Nazmul Huda, Shamnagar Police Station Officer-in-Charge confirmed the incident."
215,Driver killed in Gopalganj road accident,"The deceased was identified as Keramot Matbor, 65, hailed from Madaripur district.Moksudpur police said the accident occurred around 11 am in Char Proshonnodi area on the Dhaka-Barisal Highway, leaving Keramot Matbor dead on the spot and three pickup van passengers injured.The injured were admitted to Rajoir Upazila Health Complex for treatment."
216,Man killed in Lalmonirhat road accident,"The deceased was identified as Shohorab Hossain, 64, hailed from Kaliganj upazila of the district.Police said the accident occurred this morning in Namuri Kadomtola Chowrasta Mor area when the truck hit the bike, leaving its rider Sohorab critically injured.He was sent Aditmari Upazila Health Complex where the duty doctor declared him dead.Officer-in-Charge of Aditmari Police Station Siful Islam confirmed the matter."
217,Four Bangladeshis killed in Saudi road accident,"Abul Kalam, a Saudi Expatrial said the accident took place around 10:00pm when they were going to office by a microbus. All of them died on the spot.A heart-rending situation is prevailing in the village homes of the victims."
218,Man killed in Habiganj road accident,"Local people said the accident occurred around 7 am at Olipur when Mia was going to his factory at Habiganj Industrial Park, leaving Mia dead on the spot. Later, the body was sent to Habiganj Sadar Hospital.Officer-in-Charge of Shaistaganj Thana Liakot Ali confirmed it."
219,Eight  killed in Faridpur road accident,"The identities of the deceased could not be known immediately.Faridpur Fire Service and Civil Defence Senior Station Officer Nurul Alam Dulal confirmed the matter.The injured passengers were rescued and taken to Faridpur Medical College Hospital, he added.More to follow.............................................."
220,Road accidents kill two in capital,"Besides, Mustak died when a mini truck hit him in front of Jatrabari Medical Hospital as he was crossing the road around 10 am.  He was also taken to the DMCH where he succumbed to his injuries. Dhaka Medical College Hospital police confirmed the death of the two citizens. Cases are being processed to file in this regard."
221,3 killed in Thakurgaon  road accident,"The buses collided-head on while saving a motorcycle.The deceased were identified as Babul Hossain, 40, minibus driver of Collegepara in Thakurgaon town, Kamruzzaman Raju, 52, Agrani Bank official of Munshirhat Branch and resident of Chaklahat area of Panchagarh and Abul Kalam Azad, 52, of Nargun area of Sadar Upazila of Thakurgon.Officer-in-Charge (OC) of Thakurgaon Sadar Thana Md. Ashikur Rahman confirmed the matter. The accident took place at about 10:30 am when a passenger bus hit another passenger bus while overtaking it at the area killing two people on the spot and injuring the others.  Police and Fire Service and Civil Defense personnel rushed to the spot and recovered the bodies. The injured people were sent to Thakurgaon District Modernised Sadar Hospital. One of the injured died on way to the hospital.Meanwhile, condition of some other injured are critical.Police and Fire Service and Civil Defense personnel with the help of locals salvaged the damaged buses to clear the highway for normal vehicular movement. Police, however, seized the buses."
222,3 killed in Thakurgaon road accident,"The deceased were identified as Babul Hossain, 40, minibus driver of Collegepara in Thakurgaon town, Kamruzzaman Raju, 52, Agrani Bank official of Munshirhat Branch and resident of Chaklahat area of Panchagarh and Abul Kalam Azad, 52, of Nargun area of Sadar Upazila of Thakurgon.Officer-in-Charge (OC) of Thakurgaon Sadar Thana Md. Ashikur Rahman confirmed the matter.The accident took place at about 10:30 am when a passenger bus hit another passenger bus while overtaking it at the area killing two people on the spot and injuring the others.  Police and Fire Service and Civil Defense personnel rushed to the spot and recovered the bodies. The injured people were sent to Thakurgaon District Modernised Sadar Hospital. One of the injured died on way to the hospital.Meanwhile, condition of some other injured are critical.Police and Fire Service and Civil Defense personnel with the help of locals salvaged the damaged buses to clear the highway for normal vehicular movement. Police, however, seized the buses."
223,Road accident fatalities continue unabated ,"Scrutinizing the way road accident took place in Bangladesh during this Eid-ul-Adha, one can say that most of the road safety measures taken over the last couple of year have gone in vein. Every time the gravity of road safety issues gets intensified when any student dies of road accident. Protesters blocking roads and seeking the highest punishment of the perpetrators have become very common repercussions of any gruesome road accident. After every incident of road crash we hear pledges from the BRTA, police, and other transport authorities of taking effective measures. But all fade away within the circle of time which is why the procession of deaths on the roads never stops. Following the last year’s students movement, Prime Minister Sheikh Hasina issued a five-point directive in June to prevent road accidents. A special committee was formed too on 4 September to prevent road accidents and develop traffic systems. But most of the decisions and recommendations have not been materialised. Moreover, the act passed last year to ensure punishment of the law violators has rendered ineffective too due to the protests of the transport owners and workers.Scrutinizing the way road accidents took place in Bangladesh during this Eid-ul-Adha, one can say that most of the road safety measures taken over the last couple of year have gone in veinRoad accidents are common phenomenon in every country around the world. What makes them different is that other countries punish the responsible ones, but the culprits are always at large here in Bangladesh. The Kolkata police too in India have arrested the driver of the vehicle that killed two Bangladeshis in Kolkata on Friday. Whom have the police detained so far here in connection with the road accidents during Eid that killed many people? Has any official of any organisation been brought to answer?It is high time that Bangladesh takes stern actions against reckless driving. In order to ensure road safety for all, the design and quality of the roads and highways must be improved; unfit vehicles should not be allowed on the roads and there should be mass awareness on traffic rules. Also in order to maintain discipline on roads, the idea of Black Box can play an effective role. It will not cost more than Tk 10 thousand but will definitely help monitor vehicular speed and other movements. Also there is a need to set up an adequate number of CCTV cameras which will help in investigation of accidents in city streets."
224,Seven including 6 of a family killed in road accident,"Seven people, including six members of a family, were killed as a bus hit a CNG-run auto rickshaw on Comilla-Noakhali regional highway at Jamtoli area under Bagmara upazila in Cumillah on Sunday afternoon.The deceased were identified as Jashim Uddin, 48, owner of Bandan Hotel in Goalpatti area of the district, his wife, mother-in-law (unknown), his sons Shipon ,28 ,Hriday ,21, Rifat ,14, and CNG driver (unknown).All of them hailed from Ghoramaidan area of Jodda union under Nangalkot upazila in Cumilla district.According to police, the mishap occurred when a Laksam-bound Tisha Paribahan bus from Dhaka rammed the auto rickshaw at Jamtoli this afternoon as the bus driver lost control over the steering, leaving 5 dead on the spot. Two died on the way to the hospital."
225,One killed in Natore road accident,"The deceased was identified as Shahjahan Ali, 50, son of late Eman Ali hailed from Kacharighat area of Munsigonj district.Harun or Rashid, ASP of Borigram circle, Ibrahim Hossain, body guard of Harun Or Rashid and Mobarak Hossain, driver of police’s pick up were injured in this accident.The injured were admitted in different hospital. Superintendent of Police, Liton Kumer Shaha has visited the spot instantly. Dilip Kumer, Officer-in-Charge of Boraigram police station said a Dhaka going private car hit the Bonpara going police’s pick up after losing its control.Shahjahan Ali, the private car driver died on the spot as the private car was totally vandalized in the collision. The private car went out of control as Shahjahan Ali was sleeping for long driving, OC added."
226,3 killed in Bogura road accident,"Of the deceased, two were identified as Khairul Anam, 60, and his wife Ranu Begum, 50, hailed from Rangpur while identity of other victim could not be known immediately.Sub-Inspector of Bogura Highway Police Station Kajal Kumar Nandi confirmed the matter.The SI said a Rangpur-bound bus of 'Shyamali Paribahan' collided head-on with another bus of 'Ahad Paribahan' at Aria Bazar area around 1:30 pm, leaving 10 people critically injured. The injured were taken to Shaheed Ziaur Rahman Medical College Hospital where the trio died."
227,Road accident kills child in city,"Locals rushed the wounded to Dhaka Medical College and Hospital (DMCH) where the duty doctors declared the child dead around 6:30 am. Three other wounded passengers are– Jamal Gazi, 50, Joynob Begum, 45, and Sadia Aktar, 7. All of them are residents of Jurain Commissioner Road area. Police and family sources confirmed that they were headed to Dholaikhal Bus Stand for Patuakhali to celebrate Eid-ul-Azha.“Body of the child has been kept at the DMCH mortuary for post mortem,” the ASI of DMCH police outpost said, adding that legal action has been taken in this regard."
228,Motorcyclist killed in Natore road accident,"The deceased was identified as Mehedi Hassan, 28, hailed from Jashore district. Bonpara Highway police said the fatal accident occurred around 9 am in Godra area on Natore-Pabna Highway while Mehedi was returning home along with his wife from his workplace Tangail. Medhedi died on the spot. His wife Roksana was admitted to Natore Sadar Hospital while injured another motorcyclist was admitted to Rajshahi Medical College Hospital. The body was sent to Natore Sadar Hospital."
229,Two killed in Habiganj road accident,"The deceased were identified as Mukles Miah, son of Abdul Jabbar of Puranbagh village and Shakil Ahmed, son of Afroz Miah. Shakil Ahmed was a student of Brindaban Government College in Habiganj.Rashed Mubarak, OC of Baniachang Police Station, said the accident occurred in the area around 9:30pm when a motorbike hit an auto-rickshaw coming from opposite direction, leaving seven people injured."
230,Rajarhat   sub-registrar   dies in road accident,"Nushrat, 35, died on the spot when a microbus, carrying Nushrat and her two children, met the accident as she was on her way to Dhaka from her workplace, a Law Ministry sources said, adding that her two children miraculously survived.Nushrat, from Pirojpur Sadar, joined as sub-registrar in 2017. Law, Justice and Parliamentary Affairs Minister Anisul Huq expressed profound shock at the death of Nushrat and conveyed his deep sympathy to the bereaved family. The minister prayed for eternal peace of the departed soul."
231,3 killed in Tangail road accidents,"In Ghatail upazila, a truck ran over a van, killing one passenger and injuring five others in Garo Bazar area. The deceased is Kalam Mia, 50, son of Afasar Ali from Chariabaid village of the same upazila. The injured have been admitted to a local hospital. Sub Inspector (SI) of Ghatail upazila’s Sagardighi police investigation centre, Fazlul Haque, confirmed the matter.In Delduar upazila, a wood laden truck fell into a roadside canal while allowing an incoming bus to pass in Mohera Signboard area, killing one on spot. The deceased is Shorhab Hossain, 50, son of Sadar Uddin Mondol from Boro Kanchanpur village of Kaliakair upazila in Gazipur. Sub Inspector (SI) of Delduar police station Abdul Hannan said, Shorhab was a labourer."
232,8 killed in Thakurgaon road accident,"The accident took place when two passenger buses collided head-on at about 8:00am. A Thakurgaon bound night coach of Dipjal Enterprise from Dhaka collided head-on with another passenger bus of Nishat Enterprise coming from the opposite direction at the point, leaving five people dead on the spot and 25 others injured.However, a motorcycle and a three-wheeler carrying passengers also got crushed between the buses. Officer-in-Charge (OC) of Sadar Thana Ashikur Rahman confirmed the matter. Four of the deceased were identified as Mostafa Kamal and his wife Mansura, hailed from Ziabari area of Thakurgaon Sadar upazila, Abdul Mazid, 62, hailed from Laxmipur area of Sadar upazila, Abdur Rahman Tarun, 42, Khitish Chandra Barman, 40, and Sarashwati Saha, 40, hailed from Thakurgaon; and Mongoli Rani and his daughter-in-law Joba Rani, hailed from Kaharol upazila of Dinajpur.  On information, Thakurgaon Sadar Thana police and Fire Service and Civil Defense personnel from Thakurgaon Station rushed to the spot and recovered the bodies and rescued injured people. The injured were sent to Thakurgaon District Modernised Sadar Hospital. Later, 10 of the injured were shifted to Rangpur Medical College and Hospital.One of the injured persons died on his way to the hospital while two others succumbed to their injuries at the hospital, said the OC.Both of the ill-fated buses were badly damaged and police and Fire Service and Civil Defense personnel with assistance of local people salvaged those to clear the highway for normal vehicular movement.High officials of the district and police administrations visited the spot. While visiting the accident site, Deputy Commissioner (DC) of Thakurgaon KM Kamruzzaman said, that after identifying the victims, Tk 10,000 will be provided to their families as burial cost. Moreover, financial assistance will be given for the treatment of the injured. "
233,2 motorcyclists killed in road accident   ,"Officer-in-Charge (OC) of Godagari Police Station (PS) Jahangir Alam said that the accident took place at midnight around 12:30 when the truck knocked the motor bike, leaving the motorcyclists seriously injured.They were brought to Godagari Hospital where doctor declared them dead. The bodies will be handed over to the relatives after autopsy. A case was  filed with the PS in this regard, he added. The truck driver, however, managed to escape the spot with the vehicle."
234,3 cattle traders killed in Cumilla road accident,"The accident took place near Chiara area of Dhaka-Chittagong highway in Chauddagram upazila around 6am on Wednesday. The deceased are Khokon Miah, 40, from Maheshpur area of Jhenaidah upazila, Samiul Islam, 45, and Anwar Hossain, 42, from the same area.Around six cows were also killed in the accident. Chauddagram Miah Bazar highway police outpost in-charge Abul Kalam told Dhaka Tribune that a Chittagong-bound truck laden with cattle skidded off road when the driver lost control and fell on a roadside ditch. “The three cattle traders were killed on spot. Police have recovered the injured as well as the truck from the area,” he said."
235,3 killed in Kurigram road accident,"The deceased were identified as Mostafa, 35, a resident of Khamargram village of the upazila, his wife Joshna, 28, and his grandmother Amena, 75. The accident took place near Kathalbari College at about 11 am when a minibus hit the auto rickshaw from behind, leaving its six passengers injured, said police super M Muhibul Islam Khan. The injured were sent to Kurigram Sadar Hospital where three succumbed to their injuries."
236,2 killed in Ctg road accident,"The deceased were identified as Mohammad Munna, 22 and Abbas Uddin Nishat, 25.Eyewitnesses and police said the accident took place in the area when the covered van hit a stationary motorbike, injuring four people.Later, they were taken to Chattogram Medical College Hospital (CMCH) where two of them succumbed to their injuries, police said."
237,2 workers killed in Faridpur road accident,"Two workers were killed and five others were injured as a speedy truck fell into a roadside ditch and over turned on Dhaka-Khulna Highway at Dhuldi under Faridpur on Saturday.Senior Station officer of Faridpur Fire service, Md Nurul Alom Dulal said the accident occurred when electric goods loaded truck went to Pirujpur from Dhaka turn over on the way.The workers were under the electric goods as the truck turn over. Later they were rescued after free the truck.Meanwhile, the deceased were not identified. Five serious injured people were sent to Faridpur Medical College.Kanaipur Highway Police received the dead body.  "
238,"Rohingya woman, son killed in road accident","Two Rohingya people were killed and three others injured when a brick laden truck plunged into a road side at Kutupalong under Ukhia in Cox’s Bazar on Friday morning.The incident took place at Kutupalong D-5 Rohingya camp.The deceased were identified as Sanjida Begum, and her son Md Yeasir.Abul Mansur, officer-in-charge of Ukhia Police Station, said that a brick-laden truck plunged into the road side ditch around 8.30 am after its driver lost control over steering, leaving two people dead on the spot and three others injured.The injured were taken to a local hospital.On information, police recovered the bodies and seized the truck."
239,Man killed in city road accident,"The victim was Mohammad Ali, 31, son of Motalib Bepari, hailed from Gosairhat upazila of Shariatpur.The accident took place at Hatirjheel of Rampur around 6:30am, said assistant sub-inspector of Hatirjheel police station Nazrul Islam. Police recovered the body and sent it to Dhaka Medical College and Hospital morgue for autopsy."
240,Two motorcyclists killed in Gopalganj road accident,"The deceased were identified as Saddam Hossain, 30, and Monir Mia, 32. They were hailed from Shalnagar village under Lohagara upazila in Narail district.Azizur Rahman, Officer-in-Charge of Kashiani upazila, confirmed the matter adding that the accident occurred around 10.45 am in Chapta area on Dhaka-Khulna Highway.Saddam and Monir were brought to Kashiani Hospital where the duty doctor declared them dead. They were returning Narail from Gopalganj."
241,Youth killed in Natore road accident,"A truck driver died on the spot and ten others were injured while the truck and a bus collided head-on at Agran area of Baraigram upazila in Natore on Monday morning.The deceased was identified as Robi Islam, 32, son of Amir Ali from Mosempur village under the Bheramara upazila of Kushtia district.Delwar Hossain, Officer-in-Charge of Bonpara highway police station, said that a truck and a bus collided head-on at Agran area on Bonpara-Hatikumrul highway at about 05:00am, leaving the truck driver dead on the spot. Police later handed over the body to the family, the OC added."
242,2 women Killed in Sonargaon road accident,"The deceased were identified as Borsha Bormon, 14, daughter of Dulal Bormon, hailed from Bekutia village of Soanrgaon upazila, and her grandmother Debi Bormon, 50.Eyewitnesses said that two female died on the spot as a passenger bus ran over them losing the control. Barsha Bormon and her grandmother were crossing the road and met the fatal accident. Seven others were injured in the accident. Apon Kumar, sub-inspector of Sonargaon police station, said that on information police rushed to the spot rescued the body. Bus helper was arrested while driver managed to escape from the scene.All the seven injured persons sent to Dhaka Medical College Hospital for treatment."
243,Pedestrian killed in Habiganj road accident,"The deceased was identified as Parvej Mia, 16, hailed from Kadomtoli village in the Upazila.Local people said the accident occurred in Kadomtoli area on Dhaka-Sylhet Highway this afternoon. Parvej was taken to Habiganj Sadar Hospital, where the duty doctor declared him dead.Officer-in-Charge of Shaistaganj Thana Anisur Rahman confirmed the incident."
244,"Mother, son killed in Gopalganj road accident","The deceased were identified as Shaon Begum, 34, and her minor son Shakib, 08, residents of Dhakpar village in the Upazila. Shaon was a teacher at Shalina Box High School.Highway police said the accident occurred at around 8:15 am in Gerakhola area on Dhaka-Khulna Highway. Shaon and her son Shakib died on the spot.Officer-in-Charge of Bhanga Highway Thana Mahfuzur Rahman said they seized the bus and detained its driver.The bodies were handed over to the family members, he added."
245,2 killed in Bogura road accident,"The deceased were identified as Al Amin, 30, son of Manos Ali of Shibganjupazila of the district, and Biplob Hossain, 32, of Digholkandi village under BograSadarupazila.Sub-inspector (SI) of Chilimpur Town police Outpost of BograAbdulim Azad Mandal confirmed the matter.He said that the accident took place when a stone-laden truck crashed into another truck parked for repairs beside Bogura highway from the back at about 8:00 am, leaving two people, who were standing there, dead on the spot.Besides, the driver and helper of the stone-laden truck were stuck at front part of the vehicle. On information, police and Bogura Fire Service and Civil Defense personnel reached the spot and recovered the bodies. They also rescued the injured in critical condition.Later, the injured were admitted to Bogura Shaheed Ziaur Rahman Medical College Hospital. The bodies were also sent in the hospital. Police seized both the truck and a case was filed in this connection."
246,Student killed in Jashore road accident,"A student was killed in a road accident on Jashore-Chawgacha road at Salua Bazar area in Chawgacha upazila under Jashore on Wednesday afternoon.The deceased was identified as Sharmin Sultana Tama, 25, a final year student of MM College’s Management department and wife of Masudur Rahman of Mashila village in Swarupdah union under Chawgacha upazila.Shahinur Rahman, Sub-Inspector of  Chawgacha than said, the accident took place around  5:30 pm when a truck ran over Sharmin Sultana Tama while she fell down on the road from her husband’s Motorcycle at Salua Bazar area,she dead on the spot.On information, police reached the incident place and recued the body.Police seized the truck but it driver and helper fled from the scene. A case was filed in this connection, SI Shahinur said."
247,Two brothers killed in Gazipur road accident,"The deceased were identified as Al Amin, 25, and his brother Alom, 07. They were the residents of Tongi Notun Bazar area.Fire Service and Civil Defence sources said the accident occurred when a truck hit a pick-up van from behind in the area, leaving Al Amin dead on the spot and injuring others.The wounded were rushed to Shaheed Tajuddin Ahmed Medical College Hospital where Alom succumbed to his injuries.Their parents Kajol Mia and Jobeda and sister Shapla were also injured in the accident who are undergoing treatment at the hospital now.A case was filed in this connection."
248,Two brothers killed in Gazipur road accident,"Fire Service and Civil Defence sources said the accident occurred when a truck hit a pick-up van from behind in the area, leaving Al Amin dead on the spot and injuring others. The wounded were rushed to Shaheed Tajuddin Ahmed Medical College Hospital where Alom succumbed to his injuries.Their parents Kajol Mia and Jobeda and sister Shapla were also injured in the accident who are undergoing treatment at the hospital now. A case was filed in this connection."
